Symbol,Price_vs_USDC
SOL,95.658355098
USDC,1.0
USDT,0.999318
$WIF,0.368549
Bonk,1.40051e-05
$MYRO,0.136954965
mSOL,110.944023249
JitoSOL,103.470932214
JTO,2.485391968
bSOL,105.415294246
USEDCAR,0.05959588
PYTH,0.326371
HONEY,0.25176794
$BOZO,1.37704e-07
FLUXB,0.045634
SHDW,1.259014229
POPCAT,0.024366546
ETH,2529.60267531
USDCet,0.999867
RAY,1.206279
SILLY,0.065780604
NEON,1.46023438
HNT,7.34074849
ORCA,4.45921
PONKE,0.024372868
CHONKY,4.46339e-05
stSOL,110.539628845
GUAC,2.20995e-07
NOS,0.925926
Speero,3.91508e-07
LST,121.279875501
MOBILE,0.00279151
JLP,1.841732
ZERO,0.941622656
WBTC,42726.64348034
LFNTY,1.867794
SAMO,0.013089733
CROWN,0.687172969
RENDER,3.71772563
OMNI,0.00035714937
ATLAS,0.0052248405
SLND,2.785093
UXD,0.999734
VONSPEED,0.00321078
USDTet,0.998943
SLO,0.00428768348
MNDE,0.255252249
ZBC,0.01246806
POLIS,0.36900274
SCS,0.00636673
monk,0.00247304
RLB,0.132137
BURRRD,4.76555e-08
GECKO,0.00022557
CIF,0.00126219
HXD,0.184608445
IOT,0.00202143
DOBI,0.00104185
OTK,0.054460671
DUST,0.567607059
RBT,6.57963e-06
LEIA,0.000143475
xLFNTY,1.525059
USDCpo,0.999666
PEEP,6.09739e-05
USDTpo,0.999705
MPLX,0.302357
SLIM,0.298767
STBOT,0.00228126202
PRNT,0.001195396
STEP,0.065283631
DARK,0.826227499
FOMO,0.104790845
ELON,1.68958e-07
ACS,0.00236957
GMT,0.312167447
SPDR,0.024936284
BNB,316.91901977
MATICpo,0.86148357
LIKE,0.030522572
SNS,0.013172761
EURC,1.102406
BERN,0.012829
PONK,4.36257e-08
HBB,0.337042
FRONK,3.43972e-08
$POPO,0.00169268399
WOOF,0.000112256
KNOB,0.000118998609
CORN,1.607681e-06
sols,3.35778386
USDCbs,1.00034902
COCO,0.000305514
USDTbs,0.99941391
TTT,0.00346801
BLZE,0.00189737455
KNK,0.784874165
AURY,1.133306262
PRISM,0.010089
DIO,0.044860704
USDH,0.945902
MELON,0.00116436
GENE,0.398835596
SRM,0.061193
wstETH,2919.67563572
AUDIO,0.1987848
TBTC,42695.81367547
REAL,0.231093549
KIN,1.41756e-05
ELU,0.021709166
NANA,0.00936016746
C98,0.259051
FCON,0.000316432
WIFOUT,0.000110426293
GST,0.012780075
MBS,0.030764
USDCav,0.999814
OVOL,0.70922
BabyBonk,0.00200913757
$WEN,3.10085e-07
SPX,0.0065677817
GRAPE,0.00439787
MEDIA,15.370515
abUSDC,1.002690907
SUSHI,1.09917013
PUMPR,0.00251251
SOBER,0.00115181298
SBONK,5.258985045
DAI,0.99848244
PUFF,0.011095654
BLOCK,0.051619
DAWG,0.020017596
SHILL,0.013156
$CWIF,8.79521e-09
UXP,0.012331218
NCTR,0.527036636
GP,0.204749838
DXL,0.014937
SBR,0.00386917
USDY,1.028172
FIDA,0.313093
SCOIN,0.011895249
aeWETH,2533.35677195
abUSDT,1.001360682
FISHY,0.040979
LOAF,6.89011e-06
CRP,0.00658130893
TULIP,2.482593
LMF,0.125324782
FOXY,0.0055371
CHILI,1.33389e-10
AI,0.000244420759
LARIX,0.000509285
HADES,0.044518676
GOFX,0.055643822
SNY,0.011283
$RKT,0.00361633
STARS,0.19194
MDF,0.00145616
DFL,0.00172658616
CWAR,0.023032965
WLKN,0.00674829623
DGLN,1.92661516e-05
MNGO,0.017966
HAWK,0.00241244
ATS,0.010550891
GARI,0.034631128
USDTav,0.998667
PUGAI,1.29436e-09
LDO,3.44095165
APEX,0.015348664
FM,0.221521
KI,0.00253643742
aeUSDT,1.001768803
LIQ,0.00300157
MOLA,8.67963636e-05
CHEEMS,0.000350206
HXRO,0.11336955
VC,0.061094504
SONIC,2.74423e-05
STSHIP,1.2354843e-06
FORGE,0.064975348
ARB,0.000541817
SAO,0.00444733692
SEI,4.447502
DEO,0.174937966
SDOGE,7.62871e-05
YAKU,0.00501931177
MRC,0.000733608462
ALEPH,0.17741925
PIP,0.095128959
OXY,0.017133
KING,3.37812753e-05
SLC,0.00477738
AART,0.00120849
PHY,0.026975958
DOGGO,5.91868e-09
KIRA,0.025273858
KITTY,0.000383359732
2080,0.00640357517
CHAD,0.00147490348
JELLY,0.033191
BUSDbs,1.00150251
CRWNY,0.00416398
LMDA,0.030273
SLCL,0.00592853971
RACEFI,0.012337
XSB,0.00041369701
HOLY,0.00389117812
BASIS,0.00419134
GROK,0.07743204
ABR,0.300046018
PRT,0.000620576
SOLAPE,0.00180270786
1SOL,0.02172942
DONK,5.0292e-09
FLTH,0.028904782
BRZ,0.207448
scnSOL,111.905197855
FOOD,0.00051564526
WGC,1.95613e-05
spurdo,8.18884293e-06
CAVE,0.077299
BABY,1.70039982e-05
FTM,0.395882053
ETX,0.00014184
RIN,0.139058697
sUSDC-9,1.0
JJJJC,0.000441122075
XTAG,0.029806
DOGO,6.72903e-06
$NEON,2.96823e-06
SLRS,0.00708012
SOLR,0.056239
POTATO,1.17041e-07
CHICKS,0.000159710654
WAG,0.0044116607
MDS,0.998329311
POLYGONE,4.18335e-06
SANDY,0.00060696
MEAN,0.03269
SOLPAD,8.23378087e-05
$GARY,0.140825262
PRIME,0.100661244
LSD,6.74024029e-05
BONES,0.000105177
aaUSDC,0.999289883
xSTEP,0.083559627
Cope,3.07003e-09
MANA,0.45660841
CLAY,2.689618
DEFI,1.40706e-10
VOID,0.00187771361
TAKI,0.020951411
JIMMY,0.000717684405
PAI,1.002605
CYS,0.00874791
TWT,1.24385983
AEVUM,0.013216592
CATO,0.00147100739
RATIO,0.010319
soETH,249.490416
BOOTY,0.000476745413
DUAL,0.031998
TOKE,0.000509344
STYLE,0.017576007
YARD,9.55656632e-05
N2H4,0.067727
lamp,0.000667435179
MER,0.000454335
MOON,6.97031e-06
